mode,prompt_idx,run,tokens,wall_time_s,tokens_per_sec,ttft_s,avg_decoded_per_iter
baseline-draft,0,1,200,63.206479,3.16,63.206406,1.0
baseline-draft,0,2,200,63.270596,3.16,63.270489,1.0
baseline-draft,0,3,200,63.262041,3.16,63.261926,1.0
baseline-draft,1,1,200,63.274687,3.16,63.274617,1.0
baseline-draft,1,2,200,63.326641,3.16,63.326570,1.0
baseline-draft,1,3,200,63.275317,3.16,63.275217,1.0
baseline-draft,2,1,200,63.313698,3.16,63.313628,1.0
baseline-draft,2,2,200,63.369191,3.16,63.369086,1.0
baseline-draft,2,3,200,63.514905,3.15,63.514791,1.0
